Team,Rating_0,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Rating_6,Rating_7,Rating_8,Rating_9,Rating_10,Rating_11,Rating_12,Rating_13,Rating_14,Rating_15,Rating_16,Rating_17,Rating_18
Kansas City Chiefs,104.64513621347905,105.45556649779131,104.61488454939447,104.5101211109971,105.11585433892012,106.34965486628583,106.34965486628583,107.5918844461312,107.01514673894856,106.79771358782557,106.16044822529503,105.15548380877291,104.00411842445644,102.54099991998552,102.69324794106726,103.70828333184171,104.27347077267723,106.30028346069706,106.30028346069706
Philadelphia Eagles,97.44563821752975,98.71761705898489,98.0962722742877,99.69382491249118,97.7512622045736,97.7512622045736,97.67805614391831,100.06138543845188,102.70189269460644,102.47228725245296,104.48376796919804,104.96390147756026,106.74342998934664,107.59150579627354,106.32756371326651,107.6408930553192,106.54999884791096,107.65689134326864,107.65689134326864
Pittsburgh Steelers,101.04606410724635,101.82098992430198,102.54121173984,103.50093279596554,102.66353167558265,101.8891715740784,103.56441694024797,105.0998136731083,104.60049201495103,104.60049201495103,104.56674890439876,104.79097645689372,102.8148073750352,103.57654953751239,103.97551682408871,102.66218748203603,101.1501851155434,99.12337242752356,99.12337242752356
Buffalo Bills,103.82477596374449,103.57485023466894,105.58788488517064,106.57115346773598,104.17564996237029,103.32911049952874,103.50858270029485,104.63170826412352,106.51228823831948,105.16322518532955,105.86895544091536,106.87391985743747,106.87391985743747,108.01633657860064,106.81782485036102,107.9972416469771,106.20624228205196,106.94604889850243,106.94604889850243
New Orleans Saints,102.21214817004213,103.16213945023473,105.69267101258713,104.09511837438365,103.15606486586586,101.92226433850014,99.3779582262577,97.18657798766395,95.63913662964629,95.03170285919265,95.87413718496332,97.7699870517488,97.7699870517488,96.69558467613567,96.7948992106642,96.98853355405888,96.38963410271427,93.83633865822708,93.83633865822708
Chicago Bears,100.83670964749746,101.04886258979039,100.37315340105695,99.57947215571501,100.2168217511963,101.3894457937206,102.86128707627206,102.86128707627206,102.47581567768337,99.79525114579799,96.49413191354947,97.02514924551113,97.2781377933399,98.74492522558279,96.7742114596455,95.73070300752381,94.77504122505509,94.94449224164356,94.94449224164356
New England Patriots,96.59228238214578,98.1976472108139,97.79520374838198,95.85979043818605,94.82375598624603,93.82881533918213,92.19317351926198,90.77929868276269,91.9547956932595,92.18055246494534,95.48167169719386,95.00852905164543,93.55337186433802,93.7044811029289,93.7044811029289,92.92256344477477,94.71356280969991,93.21807008100974,93.21807008100974
Houston Texans,100.10133800402659,100.27346945657193,100.94917864530537,99.09123296504144,99.09480757029581,99.94134703313736,101.57698885305751,101.97625753437163,101.79297514489737,100.35578045211669,100.83825601327004,102.80034392728726,100.84808766712872,100.94361113713455,100.94361113713455,101.63909236172083,101.07390492088531,99.54577485822836,99.54577485822836
Miami Dolphins,100.37030337260272,100.34627569381445,98.33324104331275,96.5555151507905,93.83239216531173,94.82733281237563,94.82733281237563,94.82309425855797,94.81479498702505,96.16385804001499,98.10997253686536,99.2767571830557,100.7319143703631,99.7459706835185,99.8700980368702,99.17461681228393,100.63803706981575,102.05254308251983,102.05254308251983
Minnesota Vikings,98.54233419282248,101.0040619988627,102.13938127830173,103.99732695856565,104.45416973125332,104.45761765862065,104.45761765862065,104.30532355352231,102.50203892292386,102.92823420349212,103.12088492172376,103.57019957062222,103.31721102279346,102.85963344689075,104.18817320919148,105.23168166131316,105.2409861149137,105.70504656801162,105.70504656801162
