Team,Rating_0,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Rating_6,Rating_7,Rating_8,Rating_9,Rating_10,Rating_11,Rating_12,Rating_13,Rating_14,Rating_15,Rating_16,Rating_17,Rating_18,Rating_WildCard,Rating_Division,Rating_ConfChamp,Rating_SuperBowl
Kansas City Chiefs,104.64513621347905,105.36848896941154,104.44072949263494,104.44583340449799,105.1640259876076,106.30371582968748,106.30371582968748,107.64013999433034,107.15413421441774,106.80802666655222,106.09252149502166,105.20002085604467,104.12055310746513,102.56450976931269,102.62500308914682,103.75398930668447,104.22353034360455,106.36986982311738,104.00418613062284,104.00418613062284,104.7056741151446,105.0910448167231,103.69781165240504
Philadelphia Eagles,97.44563821752975,98.6305395306051,97.92211721752815,99.63251946783971,97.77366176953278,97.77366176953278,97.62854927993503,100.10215572706231,102.84335656802887,102.49419681817774,104.60678181123153,104.971184181258,106.83593990671748,107.77450665327157,106.37106121207707,107.59468698556134,106.59100906034925,107.58962193893815,106.28102818893815,107.47213583266789,107.42360130221694,109.16705511589606,110.56028828021412
Pittsburgh Steelers,101.04606410724635,101.90806745268176,102.71536679659954,103.56820276431233,102.80066361720242,101.92240068913308,103.68989422787836,105.11982973001989,104.5157188299551,104.5157188299551,104.58048083635555,104.70898135324089,102.8337762298108,103.69777507555735,103.99894667250263,102.77532089901835,101.34821517473902,99.20187569522619,99.18289032599915,99.01768224845001,99.01768224845001,99.01768224845001,99.01768224845001
Buffalo Bills,103.82477596374449,103.48777270628916,105.58788488517064,106.48109367750854,104.19545752240326,103.43047238994447,103.69261194025269,104.69311142050519,106.64193655565022,105.1858335002349,105.99502512217421,106.8875257611512,106.8875257611512,107.93287690481723,106.83150607604153,108.08145718379197,106.24942593379197,106.89760891306271,104.493094814245,106.53581126499745,106.92778947384241,106.54241877226391,106.54241877226391
New Orleans Saints,102.21214817004213,103.07506192185497,105.71546083446778,104.00505858415622,103.15049059909201,102.01080075701213,99.35647408817877,97.07607782658236,95.65477597666563,95.15034571043074,95.86545042441055,97.66605197359326,97.66605197359326,96.50612286440163,96.71685142360825,96.81525148044678,96.32870627489473,93.69809488659945,94.41313620536923,94.41313620536923,94.41313620536923,94.41313620536923,94.41313620536923
Chicago Bears,100.83670964749746,100.96178506141061,100.39594322293759,99.68933950597541,100.2340373063031,101.3146368611862,102.71300830914609,102.71300830914609,102.43564706861616,99.85633430769262,96.47022818353256,96.903580310043,97.09565372591943,98.69001430112941,96.81805802457076,95.84704711902634,94.76510011398696,94.82563655522242,97.10092242645321,97.10092242645321,97.10092242645321,97.10092242645321,97.10092242645321
New England Patriots,96.59228238214578,98.28472473919366,97.77241392650132,95.94985022841348,95.0060773147056,93.8802909865839,92.137232225464,90.83118782035591,91.92465389019377,92.25761183388076,95.64371795804082,95.04495685408955,93.67934398216494,93.73221870464113,93.73221870464113,93.03043004883004,94.86246129883004,93.24562162322343,95.65013572204114,95.65013572204114,95.65013572204114,95.65013572204114,95.65013572204114
Houston Texans,100.10133800402659,100.36054698495171,100.92638882342473,99.15552067154059,99.07240800533664,99.83739313779543,101.58045189891533,102.06197333538611,101.7776261336146,100.45208881669788,100.84129298548727,102.89372438919663,100.8439374726244,101.03027662702027,101.03027662702027,101.6193167802314,101.14977574331132,99.52615390440302,100.1335218170032,102.6420037112154,101.94051572669363,101.94051572669363,101.94051572669363
Miami Dolphins,100.37030337260272,100.25919816543468,98.15908598655321,96.49420970613903,93.6802464165899,94.8060327447116,94.8060327447116,94.90200153553701,94.79189424896245,96.24799730437776,98.26168597453844,99.33203565632897,100.69764852825358,99.78812560131507,99.80879137729882,99.21975122408769,100.56969105280291,102.09744366251522,100.0051938531405,100.0051938531405,100.0051938531405,100.0051938531405,100.0051938531405
Minnesota Vikings,98.54233419282248,101.09113952724246,102.11659145642108,103.88745960830522,104.45455998817478,104.36794812531468,104.36794812531468,104.13603214645573,102.43551446416386,102.79379227585052,103.09279340581405,103.6485582018832,103.45648478600677,102.89054035248124,104.12060259974533,105.09161350528974,105.19557332628838,105.56639746732125,103.92963427662656,101.62995289306029,101.62995289306029,101.62995289306029,101.62995289306029
Seattle Seahawks,99.13718741273053,99.6469455410755,100.15925635376784,101.82413263418202,100.6377628531394,98.64787225796759,97.34011232977267,100.30843290363495,98.35960776848992,97.5649714502374,97.5649714502374,99.0268830291023,100.3977139678608,100.86486524065683,102.74755488180665,100.60885975195748,100.50489993095884,100.44436348972339,101.635546128682,101.635546128682,101.635546128682,101.635546128682,101.635546128682
Los Angeles Chargers,98.25920455906676,99.8553700264538,101.50975403978632,100.65691807207352,99.93872548896391,99.93872548896391,101.52652353359123,100.9375930955088,102.35889494542553,104.13865015873489,103.93490929017891,104.22805004147878,103.20811955958565,103.30398006154597,103.24348674171185,100.62195912177107,101.78410332739679,103.4009430030034,104.58000927463317,102.07152738042097,102.07152738042097,102.07152738042097,102.07152738042097
Dallas Cowboys,101.9944661781694,103.97524570444001,101.3348467918272,100.9020579609904,101.36635482097948,102.24461774904881,100.03904955586685,100.03904955586685,99.9266304027654,99.36093691696846,97.24835192391467,95.1959205202053,97.34012095147418,97.37353958255463,96.54184325848091,98.69652897287258,99.4993929956042,98.5007801170153,98.09769711687598,98.09769711687598,98.09769711687598,98.09769711687598,98.09769711687598
Tampa Bay Buccaneers,101.32289776666619,102.40967151699716,103.37757575556327,100.15032437294848,102.00918207125541,101.0041839716671,103.65851064050047,102.33508729070412,100.78644563706581,101.13255318493133,100.68834395460595,100.68834395460595,102.41401419629693,101.84038001286959,102.48751343447128,105.10904105441206,104.30617703168045,104.88509825056315,104.17005693179337,103.20870247544156,103.20870247544156,103.20870247544156,103.20870247544156
Detroit Lions,103.16497688508427,103.52900047701638,102.56109623845028,103.48094968316143,104.66731946420404,104.66731946420404,106.872887657386,107.10480363624495,107.52786110710605,108.70349873079829,108.3142945620089,108.82608751125115,110.002231109247,108.40787053403703,108.1061782752006,106.85622716745017,107.93817417248955,107.78140219179517,109.41816538248986,109.41816538248986,106.45639585265936,106.45639585265936,106.45639585265936
San Francisco 49ers,104.68469524301044,105.20462187894415,104.17916994976554,103.46054184568229,104.40431475939016,102.93143713242665,104.23919706062158,102.90277289597871,103.01519204908017,103.01519204908017,103.45940127940554,101.99748970054064,100.15307375192097,99.10772260825493,100.97967888481358,99.81290230060642,98.4629624718912,98.61973445258559,96.7024591961736,96.7024591961736,96.7024591961736,96.7024591961736,96.7024591961736
Cleveland Browns,98.85397644124386,96.87319691497325,98.09196288200552,96.70736176505557,96.55329469538866,94.94193542849567,95.08704791809342,94.69685284871515,96.68221941393047,94.90246420062111,94.90246420062111,93.10186265143841,94.9770677748685,95.27645847049087,94.97528687354558,93.84630065600793,92.96726428187968,91.43951167216737,91.43951167216737,91.43951167216737,91.43951167216737,91.43951167216737,91.43951167216737
Green Bay Packers,103.77759944318866,102.5926981301133,102.41942275592335,103.94392923022541,103.37682885035585,103.83283001192117,104.9829451175494,104.50142368107862,104.23464518928316,103.05900756559092,103.05900756559092,102.62565543908048,104.47007138770014,105.37959431463865,105.68128657347508,107.81998170332425,108.3065269088763,107.93570276784342,105.66041689661263,104.4693092528829,104.4693092528829,104.4693092528829,104.4693092528829
Washington Commanders,94.90498866209936,93.81821491176838,94.22366511879649,95.99513795175497,98.96243089727264,100.57379016416563,100.65295280791355,101.31627868264037,101.5936399231703,101.73342356805158,101.66866156165113,101.30425919162467,99.1600587603558,100.74599707921847,100.74599707921847,100.64759702237994,101.65127494759203,101.69769703870534,102.10078003884466,103.06213449519647,106.02390402502698,104.28045021134785,104.28045021134785
New York Jets,97.93505893588537,97.41513229995165,98.56756999746347,100.3901336955513,100.06988321265524,100.15649507551534,99.89435552520712,98.46442002306559,97.37095395322773,98.69649127014445,96.94400935586052,96.69039339841316,96.69039339841316,96.22324212561713,96.20257634963339,97.57142644860411,96.47989780261554,95.8317148233448,97.92396463271952,97.92396463271952,97.92396463271952,97.92396463271952,97.92396463271952
