Team,Rating_0,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Rating_6,Rating_7,Rating_8,Rating_9,Rating_10,Rating_11,Rating_12,Rating_13,Rating_14,Rating_15,Rating_16,Rating_17,Rating_18,Rating_WildCard
Kansas City Chiefs,104.64513621347905,105.4220818930119,104.54791533983567,104.48540005512481,105.13437816071301,106.3319895683259,106.3319895683259,107.61044053046118,107.06859268271806,106.80167935685515,106.13432782707653,105.17260998878382,104.04889196610037,102.55004034669253,102.66700521303737,103.72585900873729,104.25426678789347,106.32704205027852,103.90229548509993,103.90229548509993
Philadelphia Eagles,97.44563821752975,98.68413245420547,98.02930306472886,99.67025064915163,97.75987568492661,97.75987568492661,97.65901888131803,100.07706315721887,102.75629090709883,102.4807123095582,104.53107144645023,104.96670195271822,106.77900355326119,107.66187655075969,106.34429014755634,107.62312507300459,106.56576882646877,107.6310237117492,106.35155583013457,106.35155583013457
Pittsburgh Steelers,101.04606410724635,101.8544745290814,102.60818094939881,103.52680064437061,102.71626409637146,101.90194942624623,103.61266770555189,105.10751060442226,104.56789351740181,104.56789351740181,104.57202935186882,104.75944623674684,102.8221016175005,103.62316534420944,103.98452648741724,102.70569156196899,101.22633516699743,99.1535599046124,99.19554465219048,99.19554465219048
Buffalo Bills,103.82477596374449,103.54136562988953,105.58788488517064,106.5365220704238,104.18326671874463,103.36808798204825,103.57934890694428,104.65532010132085,106.56214292237992,105.17191893793624,105.9174340039863,106.87915184227901,106.87915184227901,107.98424317581747,106.82308579934906,108.02962570769864,106.20633186872197,106.91306702410643,104.45259665838053,104.45259665838053
New Orleans Saints,102.21214817004213,103.12865484545532,105.70143456149424,104.06048697707148,103.15392134935443,101.95630994174155,99.369696762181,97.14408649427038,95.64515055038676,95.07732552508051,95.87079679681342,97.73002008117085,97.73002008117085,96.62272944006331,96.76488688311996,96.92190003955496,96.36620504733607,93.78317869672726,94.43371966087258,94.43371966087258
Chicago Bears,100.83670964749746,101.01537798501097,100.38191694996407,99.62172030940152,100.22344178359197,101.360678928302,102.80426827926695,102.80426827926695,102.460369327469,99.81873993300606,96.48494002481233,96.9784013895103,97.20796576400224,98.72380989723565,96.79107212306548,95.77544172099627,94.77121849166589,94.89878773257388,97.11084700271769,97.11084700271769
New England Patriots,96.59228238214578,98.2311318155933,97.78644019947485,95.89442183549822,94.89386543629496,93.84860967350792,92.17166197491147,90.79925201971406,91.943205029379,92.21018470831932,95.54398461651304,95.02253692015663,93.60181291057745,93.71514726041113,93.71514726041113,92.9640422358348,94.78733607481146,93.24301955854176,95.70348992426766,95.70348992426766
Houston Texans,100.10133800402659,100.30695406135135,100.94041509639825,99.11595402091375,99.0861940899428,99.90137282663918,101.57832052523563,102.0092185034497,101.78707286923428,100.39281466272139,100.83942384401021,102.83625224851932,100.8464917602935,100.97693729752098,100.97693729752098,101.63148790230659,101.1030801231504,99.53822985900226,100.07619817882623,100.07619817882623
Miami Dolphins,100.37030337260272,100.31279108903504,98.26627183375393,96.53194088745097,93.77388636755184,94.81914213033888,94.81914213033888,94.85343709250175,94.80598878664877,96.19621277109245,98.16831209466784,99.29801384783254,100.71873785741171,99.76218084460358,99.84652330634798,99.19197270156236,100.61175543997962,102.06980905461948,99.91924045808297,99.91924045808297
Minnesota Vikings,98.54233419282248,101.0375466036421,102.1306177293946,103.95507880487911,104.4543197998074,104.42313632986256,104.42313632986256,104.24022460131673,102.47645775116588,102.87653619487125,103.11008267084004,103.60033142952601,103.37076705503407,102.87151832164443,104.1621897529071,105.1778201549763,105.22352317921326,105.65173074214907,103.94763872938785,103.94763872938785
Seattle Seahawks,99.13718741273053,99.70053846467586,100.1452300807943,101.87956102709727,100.63752266477202,98.70170536993533,97.44671936549281,100.35921460044118,98.45239177938211,97.7114617888941,97.7114617888941,99.10552685245428,100.52834874476292,100.92186514248161,102.73666093870227,100.65942605748589,100.61372303324893,100.48615379234094,101.61915679664045,101.61915679664045
Los Angeles Chargers,98.25920455906676,99.90896295005416,101.49572776681279,100.577108071841,99.9281299662528,99.9281299662528,101.45922485173439,100.82188416278392,102.32082010666754,104.05123688355098,103.91120390897396,104.2570692318142,103.2834419697329,103.3115084737035,103.19454360735865,100.63627385427284,101.85363900930535,103.39795552557506,104.51649204475362,104.51649204475362
Dallas Cowboys,101.9944661781694,103.92165278083965,101.34887306480073,100.9678416882494,101.36108860140216,102.17540327152739,100.04494778814085,100.04494778814085,99.88506981435687,99.281481341611,97.23112220471897,95.23429380020987,97.31828673667417,97.41697789642635,96.63055590778396,98.72633176625318,99.57387112803224,98.50861624275181,98.17413504537357,98.17413504537357
Tampa Bay Buccaneers,101.32289776666619,102.46326444059753,103.37757575556327,100.20391729654884,102.11429226077385,101.05759956869935,103.6442127482599,102.37821257190234,100.89654387823091,101.16345720409383,100.78191319025579,100.78191319025579,102.44198421786366,101.82264321504631,102.51242777692939,105.0706975300152,104.22315816823614,104.88682975196947,104.23628878782415,104.23628878782415
Detroit Lions,103.16497688508427,103.58259340061674,102.66828208565099,103.52051633378824,104.76255469611348,104.76255469611348,106.89301017950002,107.07592190804586,107.55353282684227,108.67335576363263,108.22674658234381,108.81112037133423,109.92408282779826,108.40823869456484,108.17556460731635,106.96902469896676,107.97324792829714,107.7617686007323,109.46586061349352,109.46586061349352
San Francisco 49ers,104.68469524301044,105.2582148025445,104.165143676792,103.38073184544976,104.38128824465302,102.97901161869069,104.2339976231332,102.95554666099792,103.1154246347819,103.1154246347819,103.49696864861994,102.10290358505976,100.19167595739643,99.08658462385797,101.01932239802815,99.9093027763506,98.48952003793335,98.70099936549819,96.7134322314707,96.7134322314707
Cleveland Browns,98.85397644124386,96.92678983857361,98.07793660903198,96.74692841568239,96.52915327643876,94.85679612512932,94.9576529287379,94.63518188910736,96.67665647716224,94.9462397002788,94.9462397002788,93.08701641592137,95.02436103516771,95.25225875112847,94.89089760792066,93.83204381222075,92.88624943631443,91.42819582167456,91.42819582167456,91.42819582167456
Green Bay Packers,103.77759944318866,102.53910520651294,102.43344902889689,103.90252711028369,103.4032861153554,103.78935223429718,105.00350577754055,104.57260779932648,104.24333865811816,103.1235157213278,103.1235157213278,102.63005435662984,104.54128198429318,105.49783899710131,105.73051308434981,107.8077479655662,108.36344295778508,107.93523539484927,105.72317612470546,105.72317612470546
Washington Commanders,94.90498866209936,93.76462198816802,94.23769139177003,95.95373583181326,98.88170231507148,100.55405946638092,100.57678505171388,101.30861729028597,101.65251624208392,101.73185164137088,101.72771580690387,101.29208530063588,99.20809236417158,100.8323956747005,100.8323956747005,100.67538251826551,101.73273876480133,101.82022788280433,102.15470908018257,102.15470908018257
New York Jets,97.93505893588537,97.3615393763513,98.46038415026275,100.35240251423939,100.08366929726141,100.11485276720624,99.90359184231022,98.40874894343985,97.2647959337749,98.6590541402878,96.86054444693843,96.66787176999854,96.66787176999854,96.27435537227986,96.19001291053546,97.50272180040886,96.47470130899086,95.76796615360641,97.91853475014292,97.91853475014292
Las Vegas Raiders,100.73396051618204,99.08420212519464,100.45253829158044,97.21508924801203,97.43286438725566,96.1072539943554,94.39653571504975,94.60210544112313,95.14395328886624,93.66890389409322,93.66890389409322,92.53920214092852,92.46262814228487,93.96147976169271,93.27169519980964,92.63993140308077,93.4949044716565,96.0779308222653,94.95939430308674,94.95939430308674
Arizona Cardinals,97.5266604713182,97.81007080517315,100.31323107229423,99.46099682415698,96.53303034089876,97.93530696686109,96.72115342361772,97.3584941125682,97.40594241842118,100.04757181288412,101.84608150623347,101.84608150623347,100.42325961392483,100.92250834731446,99.1077125510938,99.85881757567013,98.37898696096394,98.64477958097204,100.63234671499953,100.63234671499953
Atlanta Falcons,97.35612057050558,96.54771014867053,97.20253953814714,97.26505482285799,98.17162045057503,99.22831314264954,100.83575231105083,97.92325707610246,99.40492576977388,100.00851424251975,99.21504297078684,97.63027326960997,97.63027326960997,97.60220676563938,96.31153533437671,96.94329913110559,98.26895938209557,98.18147026409257,96.53914007725459,96.53914007725459
Indianapolis Colts,97.80496589072958,97.59934983340482,97.70500601102087,98.46520265158341,99.27573919958256,98.80174687464012,99.21357000625255,99.17927504408968,99.4014206783051,99.00134223459973,98.25582716854967,98.44849984548956,97.33553738902553,97.22220303919185,97.22220303919185,96.0857949714827,96.57344832875351,94.46790833135212,94.7638186711494,94.7638186711494
New York Giants,98.74257898981459,96.24736657899497,95.77429717539296,97.10530536874255,96.71205845558978,98.64787575042648,97.26956091594565,94.8515166400448,95.39113372706525,95.31179832777829,94.60018204389839,94.60018204389839,92.94011101629052,92.84141985653834,92.69926241348169,91.94136482436001,90.61570457337002,92.72124457077142,94.00071245238604,94.00071245238604
