Team,Rating_0,Rating_1,Rating_2,Rating_3,Rating_4
Kansas City Chiefs,104.64513621347905,105.49472809016264,104.69320773413713,104.539033380365,105.0941899841221
Philadelphia Eagles,97.44563821752975,98.75677865135621,98.17459545903036,99.72139596185667,97.74118839278142
Pittsburgh Steelers,101.04606410724635,101.78182833193067,102.46288855509735,103.47067930659526,102.60185898805092
Minnesota Vikings,98.54233419282248,100.96490040649137,102.14963060130516,104.0467378739404,104.45399422004206
Buffalo Bills,103.82477596374449,103.61401182704026,105.58788488517062,106.6116562801097,104.16674185936925
Miami Dolphins,100.37030337260272,100.38543728618578,98.41156422805541,96.58308620015599,93.90081704947346
New Orleans Saints,102.21214817004213,103.20130104260606,105.6824216895837,104.13562118675739,103.15857179465944
Houston Texans,100.10133800402659,100.23430786420062,100.9594279683088,99.06232069567356,99.104881382088
Chicago Bears,100.83670964749746,101.08802418216172,100.36290407805353,99.53006124034026,100.20907935698644
New England Patriots,96.59228238214578,98.15848561844257,97.8054530713854,95.81928762581232,94.74176016391867
Los Angeles Chargers,98.25920455906676,99.98160914720489,101.47671489490224,100.46892414340434,99.91376753964724
Seattle Seahawks,99.13718741273053,99.77318466182659,100.12621720888376,101.95469523678318,100.63719708500668
Tampa Bay Buccaneers,101.32289776666619,102.53591063774826,103.37757575556327,100.27656349369957,102.25677106277482
Dallas Cowboys,101.9944661781694,103.84900658368892,101.36788593671128,101.0570127447755,101.353950143562
Detroit Lions,103.16497688508427,103.65523959776748,102.81357447995246,103.57414965902844,104.89164781080494
San Francisco 49ers,104.68469524301044,105.33086099969525,104.14613080488145,103.2725479170131,104.35007537890675
Washington Commanders,94.90498866209936,93.69197579101728,94.25670426368058,95.8976144940379,98.77227323182126
New York Jets,97.93505893588537,97.28889317920056,98.31509175596126,100.30125720153434,100.1023565894066
Las Vegas Raiders,100.73396051618204,99.0115559280439,100.30724589727896,97.163943935307,97.46807653877623
Green Bay Packers,103.77759944318866,102.4664590093622,102.45246190080742,103.84640577250832,103.43914942640666
Cleveland Browns,98.85397644124386,96.99943603572434,98.05892373712143,96.80056174092257,96.49642913745335
Arizona Cardinals,97.5266604713182,97.73742460802242,100.31323107229423,99.55265589321826,96.6779971554349
Atlanta Falcons,97.35612057050558,96.62035634582126,97.20253953814712,97.35671389191926,98.33376328401721
Indianapolis Colts,97.80496589072958,97.67199603055555,97.68599313911032,98.5188359768236,99.38765629536793
New York Giants,98.74257898981459,96.3200127761457,95.75528430348241,97.01364629968127,96.71670890089477
Denver Broncos,99.3098454953751,98.67384824627904,97.99278802311235,101.09380028497606,101.2927008971038
Carolina Panthers,94.08354773351574,93.09439486095181,91.59928911325446,94.74259107522641,93.79879348955345
Los Angeles Rams,102.22396209245441,101.73369937977121,99.15789291549939,100.03147580336774,99.35245768672156
Baltimore Ravens,105.45003980843423,104.60044793175064,103.30475796251558,103.61563115445135,106.0605455751918
Cincinnati Bengals,101.24838024757796,99.68217701128117,100.48369736730668,98.84278713694935,99.78658472262232
Tennessee Titans,97.06970280791683,96.81838827325257,95.79218969649186,94.39824582479096,97.08051497547349
Jacksonville Jaguars,98.79845357789412,98.78331966431107,97.72383196291398,96.7000605679749,96.65749988156047
