Team,Rating_0,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Rating_6
Kansas City Chiefs,104.64513621347905,105.4302543558891,104.56426026559006,104.49143363123338,105.12985712046353,105.12985712046353,105.12985712046353
Philadelphia Eagles,97.44563821752975,98.69230491708267,98.04564799048326,99.67600433187445,97.7577734248315,97.7577734248315,97.7577734248315
Pittsburgh Steelers,101.04606410724635,101.8463020662042,102.59183602364442,103.52048717487631,102.70339389067064,101.89883078341977,101.89883078341977
Houston Texans,100.10133800402659,100.29878159847415,100.9425539831669,99.1099204448052,99.08829635003791,99.91112918245713,99.91112918245713
New England Patriots,96.59228238214578,98.2229593527161,97.78857908624349,95.88596947923529,94.87675408373039,93.84377854399266,93.84377854399266
Miami Dolphins,100.37030337260272,100.32096355191224,98.28261675950833,96.53769457017378,93.78816565988464,94.82114119962237,94.82114119962237
Chicago Bears,100.83670964749746,101.02355044788817,100.37977806319542,99.61140895975569,100.22182605692129,101.36769995009024,101.36769995009024
Minnesota Vikings,98.54233419282248,101.0293741407649,102.13275661616325,103.96539015452495,104.45428317313387,104.43155205945197,104.43155205945197
New Orleans Saints,102.21214817004213,103.13682730833251,105.69929567472559,104.0689393333344,103.15444450945238,103.15444450945238,103.15444450945238
Buffalo Bills,103.82477596374449,103.54953809276672,105.58788488517064,106.54497442668674,104.18140772536172,103.3585748929425,103.3585748929425
Los Angeles Chargers,98.25920455906676,99.91713541293136,101.49358888004416,100.56493772881227,99.92651423958212,99.92651423958212,99.92651423958212
Seattle Seahawks,99.13718741273053,99.70871092755306,100.14309119402567,101.88801338336022,100.6374860380985,98.70991445948606,98.70991445948606
Tampa Bay Buccaneers,101.32289776666619,102.47143690347472,103.37757575556329,100.21208975942605,102.130320666469,101.06574499079025,101.06574499079025
Dallas Cowboys,101.9944661781694,103.91348031796245,101.35101195156938,100.9778731445095,101.36028554791848,102.16484865516935,102.16484865516935
Detroit Lions,103.16497688508427,103.59076586349394,102.68462701140538,103.5265499098968,104.77707725515852,104.77707725515852,104.77707725515852
San Francisco 49ers,104.68469524301044,105.2663872654217,104.16300479002335,103.368561502421,104.3777768979259,102.98626632130392,102.98626632130392
New York Jets,97.93505893588537,97.3533669134741,98.44403922450836,100.34664883151656,100.08577155735652,100.10850267103842,100.10850267103842
Washington Commanders,94.90498866209936,93.75644952529082,94.23983027853866,95.94742236231895,98.86939189614213,100.55105070357503,100.55105070357503
Las Vegas Raiders,100.73396051618204,99.07602966231744,100.43619336582604,97.20933556528922,97.43682564073369,96.10042695065037,96.10042695065037
Green Bay Packers,103.77759944318866,102.53093274363574,102.43558791566552,103.89621364078938,103.40732062218046,103.78272224474362,103.78272224474362
Cleveland Browns,98.85397644124386,96.93496230145081,98.07579772226335,96.75296199179095,96.52547191634649,94.8438131089136,94.8438131089136
Arizona Cardinals,97.5266604713182,97.80189834229596,100.31323107229423,99.47130817380281,96.54933863997962,97.9408492166016,97.9408492166016
Atlanta Falcons,97.35612057050558,96.55588261154773,97.20253953814714,97.27536617250382,98.18986099638585,99.2544366720646,99.2544366720646
Indianapolis Colts,97.80496589072958,97.60752229628201,97.70286712425224,98.47123622769196,99.28832951189763,98.80262633656456,98.80262633656456
Denver Broncos,99.3098454953751,98.73832198055257,97.99278802311235,101.15827401924959,101.41915129340963,102.75554998349294,102.75554998349294
New York Giants,98.74257898981459,96.25553904187217,95.77215828862433,97.09499401909672,96.71258161568774,98.64015319430018,98.64015319430018
Carolina Panthers,94.08354773351574,93.15886859522536,91.58241512811256,94.80927292864938,93.78354971737733,92.63767582420837,92.63767582420837
Los Angeles Rams,102.22396209245441,101.79817311404474,99.28684038404647,100.08128367164882,99.47086657448322,99.09546495192006,99.09546495192006
Baltimore Ravens,105.45003980843423,104.66492166602417,103.30475796251557,103.67789676957544,106.04146347090045,105.85375352666064,105.85375352666064
Cincinnati Bengals,101.24838024757796,99.61770327700764,100.48369736730668,98.77610528352639,99.80182849479844,99.98953843903826,99.98953843903826
Tennessee Titans,97.06970280791683,96.88286200752611,95.79218969649186,94.331563971368,97.08109288165714,97.08109288165714,97.08109288165714
Jacksonville Jaguars,98.79845357789412,98.8477933985846,97.70695797777206,96.74986843625597,96.77149253102326,97.25719570635633,97.25719570635633
